Questions,Answers,b,c,v,id,Text
Out of the ten lepers Jesus healed what nationality was the one who returned to thank him?,Samaritan,42,17,16,42017016,"and he fell on his face at Jesus' feet, giving him thanks. Now he was a Samaritan."
Who did the men of Athens ignorantly worship?,The Unknown God,44,17,23,44017023,"For as I passed along and observed the objects of your worship, I found also an altar with this inscription, 'To the unknown god.' What therefore you worship as unknown, this I proclaim to you."
What inscription was on the altar in Athens?,To the Unknown God,44,17,23,44017023,"For as I passed along and observed the objects of your worship, I found also an altar with this inscription, 'To the unknown god.' What therefore you worship as unknown, this I proclaim to you."
How long did Jonah say it would be before Nineveh was to be overthrown?,Forty days,32,3,4,32003004,"Jonah began to go into the city, going a day's journey. And he called out, ""Yet forty days, and Nineveh shall be overthrown!"""
What was the name of Samson's father?,Manoah,7,13,24,7013024,"And the woman bore a son and called his name Samson. And the young man grew, and the LORD blessed him."
Who did Amnon love and then hate even more than he had loved her?,Tamar,10,13,15,10013015,"Then Amnon hated her with very great hatred, so that the hatred with which he hated her was greater than the love with which he had loved her. And Amnon said to her, ""Get up! Go!"""
Where were the Jews taken captive to when Jerusalem was destroyed?,Babylon,24,29,4,24029004,"""Thus says the LORD of hosts, the God of Israel, to all the exiles whom I have sent into exile from Jerusalem to Babylon:"
When was the festival of Passover established?,When the plague of the death of the firstborn was brought upon the land of Egypt,2,12,27,2012027,"you shall say, 'It is the sacrifice of the LORD's Passover, for he passed over the houses of the people of Israel in Egypt, when he struck the Egyptians but spared our houses.'"" And the people bowed their heads and worshiped."
"What sin did Noah commit after he began to be a ""man of the soil""?",Drunkenness,1,9,21,1009021,He drank of the wine and became drunk and lay uncovered in his tent.
Why were the Israelites afraid to enter the Promised Land?,The inhabitants were great and tall,4,13,33,4013033,"And there we saw the Nephilim (the sons of Anak, who come from the Nephilim), and we seemed to ourselves like grasshoppers, and so we seemed to them."""
Which animal did the ten spies liken themselves to when compared to the people of the land of Canaan?,Grasshoppers,4,13,33,4013033,"And there we saw the Nephilim (the sons of Anak, who come from the Nephilim), and we seemed to ourselves like grasshoppers, and so we seemed to them."""
What did the silversmith do with Micah's silver?,Made it into an idol,7,17,4,7017004,"So when he restored the money to his mother, his mother took 200 pieces of silver and gave it to the silversmith, who made it into a carved image and a metal image. And it was in the house of Micah."
What was Paul's profession?,Tentmaker,44,18,3,44018003,"and because he was of the same trade he stayed with them and worked, for they were tentmakers by trade."
What occupation did Priscilla have?,Tentmaker,44,18,3,44018003,"and because he was of the same trade he stayed with them and worked, for they were tentmakers by trade."
What was the name of Ahasuerus' new queen?,Esther,17,2,17,17002017,"the king loved Esther more than all the women, and she won grace and favor in his sight more than all the virgins, so that he set the royal crown on her head and made her queen instead of Vashti."
"According to the words of Jesus ""a city that is on a hill cannot be..."" what?",Hidden,40,5,14,40005014,"""You are the light of the world. A city set on a hill cannot be hidden."
During Jacob's struggle with the angel the hollow of which part of Jacob's body was touched and put out of joint?,Hollow of thigh / Hip,1,32,25,1032025,"When the man saw that he did not prevail against Jacob, he touched his hip socket, and Jacob's hip was put out of joint as he wrestled with him."
Which Christian doctrine did the Sadducees reject?,Resurrection,40,22,23,40022023,"The same day Sadducees came to him, who say that there is no resurrection, and they asked him a question,"
For how many years had the woman with the issue of blood suffered before she was healed by Jesus?,Twelve years,40,9,20,40009020,"And behold, a woman who had suffered from a discharge of blood for twelve years came up behind him and touched the fringe of his garment,"
What was the affliction of Bartimaeus?,Blind,41,10,46,41010046,"And they came to Jericho. And as he was leaving Jericho with his disciples and a great crowd, Bartimaeus, a blind beggar, the son of Timaeus, was sitting by the roadside."
What was the color of the robe placed on Jesus by the soldiers?,Scarlet / Purple,40,27,28,40027028,"And they stripped him and put a scarlet robe on him,"
How did Paul say we should let our requests be made known to God?,By prayer and supplication with thanksgiving,50,4,6,50004006,"do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
In the Sermon on the Mount what does Jesus tell us the earth is?,God's footstool,40,5,35,40005035,"or by the earth, for it is his footstool, or by Jerusalem, for it is the city of the great King."
Where was Abraham born?,Ur,1,11,31,1011031,"Terah took Abram his son and Lot the son of Haran, his grandson, and Sarai his daughter-in-law, his son Abram's wife, and they went forth together from Ur of the Chaldeans to go into the land of Canaan, but when they came to Haran, they settled there."
Who was the father of Abraham?,Terah,1,11,31,1011031,"Terah took Abram his son and Lot the son of Haran, his grandson, and Sarai his daughter-in-law, his son Abram's wife, and they went forth together from Ur of the Chaldeans to go into the land of Canaan, but when they came to Haran, they settled there."
Who was given a son following her prayer to God in the temple during which the priest accused her of being drunk?,Hannah,9,1,13,9001013,"Hannah was speaking in her heart; only her lips moved, and her voice was not heard. Therefore Eli took her to be a drunken woman."
"What is ""sin""?",The transgression of the law,62,3,4,62003004,Everyone who makes a practice of sinning also practices lawlessness; sin is lawlessness.
For how long did David reign?,Forty years,10,5,4,10005004,"David was thirty years old when he began to reign, and he reigned forty years."
How old was David when he died?,Seventy,10,5,4,10005004,"David was thirty years old when he began to reign, and he reigned forty years."
Jesus used a little child to show the futility of an argument among the disciples. What were they arguing about?,Who is the greatest in heaven,40,18,1,40018001,"At that time the disciples came to Jesus, saying, ""Who is the greatest in the kingdom of heaven?"""
Whose twelve year old daughter did Jesus raise from the dead?,Jairus',42,8,41,42008041,"And there came a man named Jairus, who was a ruler of the synagogue. And falling at Jesus' feet, he implored him to come to his house,"
On what island was John when he was given the vision of Revelation?,Patmos,66,1,9,66001009,"I, John, your brother and partner in the tribulation and the kingdom and the patient endurance that are in Jesus, was on the island called Patmos on account of the word of God and the testimony of Jesus."
What happened to King Nebuchadnezzar before being restored as king?,He went mad and lived as a beast ,27,4,33,27004033,"Immediately the word was fulfilled against Nebuchadnezzar. He was driven from among men and ate grass like an ox, and his body was wet with the dew of heaven till his hair grew as long as eagles' feathers, and his nails were like birds' claws."
